title;year;author
A Review of Trustworthy and Explainable Artificial Intelligence (XAI).;2023;Vinay Chamola and Vikas Hassija and A. Razia Sulthana and Debshishu Ghosh and Divyansh Dhingra and Biplab Sikdar 0001
A probabilistic theory of trust concerning artificial intelligence: can intelligent robots trust humans?;2023;Saleh Afroogh
"Apropos of ""Speciesist bias in AI: how AI applications perpetuate discrimination and unfair outcomes against animals"".";2023;Ognjen Arandjelovic
What do academics say about artificial intelligence ethics? An overview of the scholarship.;2023;Onur Bakiner
AI in Cyber Operations: Ethical and Legal Considerations for End-Users.;2023;Kirsi Helkala and James Cook and George Lucas and Frank Pasquale and Gregory M. Reichberg and Henrik Syse
Building Robust and Explainable AI with Commonsense Knowledge Graphs and Neural Models.;2023;Filip Ilievski and Kaixin Ma and Alessandro Oltramari and Peifeng Wang and Jay Pujara
Resilient and Sustainable AI. Positioning paper on the relation of AI, resilience and sustainability.;2023;Christian Zinke-Wehlmann
Linking Team-level and Organization-level Governance in Machine Learning Operations through Explainable AI and Responsible AI Connector.;2023;Elie Neghawi and Zerui Wang and Jun Huang and Yan Liu 0001
Explainable AI is Dead, Long Live Explainable AI!: Hypothesis-driven Decision Support using Evaluative AI.;2023;Tim Miller 0001
Agency in augmented reality: exploring the ethics of Facebook's AI-powered predictive recommendation system.;2023;Andreas Schönau
Meaningful human control: actionable properties for AI system development.;2023;Luciano Cavalcante Siebert and Maria Luce Lupetti and Evgeni Aizenberg and Niek Beckers and Arkady Zgonnikov and Herman Veluwenkamp and David A. Abbink and Elisa Giaccardi and Geert-Jan Houben and Catholijn M. Jonker and Jeroen van den Hoven and Deborah Forster and Reginald L. Lagendijk
Correction: AI ethics: the case for including animals.;2023;Peter Singer and Yip Fai Tse
AI ethics: the case for including animals.;2023;Peter Singer and Yip Fai Tse
True uncertainty and ethical AI: regulatory sandboxes as a policy tool for moral imagination.;2023;Kristin Undheim and Truls Erikson and Bram Timmermans
Trustworthy AI: A Fuzzy-Multiple Method for Evaluating Ethical Principles in AI Regulations.;2023;Oksana Adamyk and Oksana Chereshnyuk and Bogdan Adamyk and Serhii Rylieiev
A sector-based approach to AI ethics: Understanding ethical issues of AI-related incidents within their sectoral context.;2023;Dafna Burema and Nicole Debowski-Weimann and Alexander von Janowski and Jil Grabowski and Mihai Maftei and Mattis Jacobs and Patrick van der Smagt and Djalel Benbouzid
A framework for assessing AI ethics with applications to cybersecurity.;2023;Danilo Bruschi and Nicla Diomede
"GPT-3 and InstructGPT: technological dystopianism, utopianism, and ""Contextual"" perspectives in AI ethics and industry.";2023;Anastasia Chan
What should AI see? Using the public's opinion to determine the perception of an AI.;2023;Robin Chan and Radin Dardashti and Meike Osinski and Matthias Rottmann and Dominik Brüggemann and Cilia Rücker and Peter Schlicht and Fabian Hüger and Nikol Rummel and Hanno Gottschalk
Democracy, epistemic agency, and AI: political epistemology in times of artificial intelligence.;2023;Mark Coeckelbergh
AI-deploying organizations are key to addressing 'perfect storm' of AI risks.;2023;Caitlin Curtis and Nicole M. Gillespie and Steven Lockey
Ethical risks of AI-designed products: bespoke surgical tools as a case study.;2023;David M. Douglas and Justine Lacey and David Howard
Making sense of the conceptual nonsense 'trustworthy AI'.;2023;Ori Freiman
Confucius, cyberpunk and Mr. Science: comparing AI ethics principles between China and the EU.;2023;Pascale Fung and Hubert Etienne
Machine learning AI systems and the virtue of inventiveness.;2023;Arturo Geigel
Explainable Ensemble Learning and Trustworthy Open AI for Customer Engagement Prediction in Retail Banking.;2023;Sudi Murindanyi and Margaret Nagwovuma and Barbara Nansamba and Ggaliwango Marvin
Comprehensive Analysis Over Centralized and Federated Learning-Based Anomaly Detection in Networks with Explainable AI (XAI).;2023;Yasintha Rumesh and Thulitha Senevirathna and Pawani Porambage and Madhusanka Liyanage and Mika Ylianttila
From Black Box to Glass Box: Advancing Transparency in Artificial Intelligence Systems for Ethical and Trustworthy AI.;2023;Valentina Franzoni
Explainable AI (XAI) for AI-Acceptability: The Coming Age of Digital Management 5.0.;2023;Samia Chehbi-Gamoura
Towards Intelligent and Trustable Digital Twin Asset Management Platform for Transportation Infrastructure Management Using Knowledge Graph and Explainable Artificial Intelligence (XAI).;2023;Hendro Wicaksono and Mehar Un Nisa and Annas Vijaya
Normative ethics, human rights, and artificial intelligence.;2023;Shailendra Kumar and Sanghamitra Choudhury
Operationalising AI governance through ethics-based auditing: an industry case study.;2023;Jakob Mökander and Luciano Floridi
Correction: Operationalising AI governance through ethics-based auditing: an industry case study.;2023;Jakob Mökander and Luciano Floridi
The uselessness of AI ethics.;2023;Luke Munn
Ethics in human-AI teaming: principles and perspectives.;2023;Michael Pflanzer and Zachary Traylor and Joseph B. Lyons and Veljko Dubljevic and Chang S. Nam
Breaking bad news in the era of artificial intelligence and algorithmic medicine: an exploration of disclosure and its ethical justification using the hedonic calculus.;2023;Benjamin Post and Cosmin Badea and Aldo Faisal and Stephen J. Brett
From ethical AI frameworks to tools: a review of approaches.;2023;Erich Prem
Ethics and diversity in artificial intelligence policies, strategies and initiatives.;2023;Cathy Roche and P. J. Wall and David Lewis 0001
Artificial moral experts: asking for ethical advice to artificial intelligent assistants.;2023;Blanca Rodríguez-López and Jon Rueda
"""Ethically contentious aspects of artificial intelligence surveillance: a social science perspective"".";2023;Tahereh Saheb
The disconnect between the goals of trustworthy AI for law enforcement and the EU research agenda.;2023;Borja Sanz-Urquijo and Eduard Fosch-Villaronga and M. Lopez-Belloso
Federated Learning of Explainable Artificial Intelligence Models: A Proof-of-Concept for Video-streaming Quality Forecasting in B5G/6G networks.;2023;José Luis Corcuera Bárcena and Mattia Daole and Pietro Ducange and Francesco Marcelloni and Giovanni Nardini and Alessandro Renda and Giovanni Stea
Federated Learning of Explainable Artificial Intelligence Models for Predicting Parkinson's Disease Progression.;2023;José Luis Corcuera Bárcena and Pietro Ducange and Francesco Marcelloni and Alessandro Renda and Fabrizio Ruffini
Explaining Deep Learning Time Series Classification Models using a Decision Tree-Based Post-Hoc XAI Method.;2023;Ephrem Tibebe Mekonnen and Pierpaolo Dondio and Luca Longo
Statutory Professions in AI Governance and Their Consequences for Explainable AI.;2023;Labhaoise NíFhaoláin and Andrew Hines and Vivek Nallur
An Explainable AI User Interface for Facilitating Collaboration between Domain Experts and AI Researchers.;2023;Meng Shi and Celal Savur and Elizabeth Watkins and Ramesh Manuvinakurike and Gesem Gudino Mejia and Richard Beckwith 0001 and Giuseppe Raffa
XAI-DAOs: Decentralised Autonomous Organisations with Explainable Intelligence (Short paper).;2023;Sante Dino Facchini
Investigating Human-Centered Perspectives in Explainable Artificial Intelligence.;2023;Muhammad Suffian Nizami and Ilia Stepin and Jose Maria Alonso-Moral and Alessandro Bogliolo
Explainable AI based Maternal Health Risk Prediction using Machine Learning and Deep Learning.;2023;Anika Rahman and Md. Golam Rabiul Alam
Explain AI-Based Essay Scorings without XAI - Empirical Investigation of an User-Centered UI Design for AI-Based AES Systems.;2023;Philipp Hartmann and Sebastian Hobert
Designing Responsible AI: Adaptations of UX Practice to Meet Responsible AI Challenges.;2023;Qiaosi Wang and Michael Madaio and Shaun K. Kane and Shivani Kapania and Michael Terry and Lauren Wilcox
Apply an Integrated Responsible AI Framework to Sustain the Assessment of Learning Effectiveness.;2023;Tsung-Nan Chou
Federated Learning of Explainable Artificial Intelligence (FED-XAI): A Review.;2023;Raúl López-Blanco and Ricardo S. Alonso and Angélica González Arrieta and Pablo Chamoso and Javier Prieto 0001
A Rapid Review of Responsible AI frameworks: How to guide the development of ethical AI.;2023;Vita Santa Barletta and Danilo Caivano and Domenico Gigante and Azzurra Ragone
A Quantitative Comparison of Causality and Feature Relevance via Explainable AI (XAI) for Robust, and Trustworthy Artificial Reasoning Systems.;2023;Atul Rawal and James McCoy and Adrienne Raglin and Danda B. Rawat
Explaining Explainable Artificial Intelligence: An integrative model of objective and subjective influences on XAI.;2023;Gene M. Alarcon and Sasha M. Willis
Ethical Marketing AI?A Structured Literature Review of the Ethical Challenges Posed by Artificial Intelligence in the Domains of Marketing and Consumer Behavior.;2023;Yiran Su and Emma Junhong Wang and Pierre Berthon
Human- and AI-based authorship: Principles and ethics.;2023;Michael Mapundu and Chodziwadziwa W. Kabudula and Eustasius Musenge and Victor Olago and Turgay Çelik 0001
Explainable Machine Learning.;2023;Mohammad MohammadAmini and Marcia Jesus and Davood Fanaei Sheikholeslami and Paulo Alves and Aliakbar Hassanzadeh Benam and Fatemeh Hariri
Unraveling COVID-19 Dynamics via Machine Learning and XAI: Investigating Variant Influence and Prognostic Classification.;2023;Gili Rosenberg and John Kyle Brubaker and Martin J. A. Schuetz and Grant Salton and Zhihuai Zhu and Elton Yechao Zhu and Serdar Kadioglu and Sima E. Borujeni and Helmut G. Katzgraber
Artificial Intelligence Ethics and Challenges in Healthcare Applications: A Comprehensive Review in the Context of the European GDPR Mandate.;2023;Lucia Migliorelli and Alessandro Cacciatore and Valeria Ottaviani and Daniele Berardini and Raffaele L. Dellacà and Emanuele Frontoni and Sara Moccia
Explainable Artificial Intelligence Using Expressive Boolean Formulas.;2023;Sudhakar Tummala and Anil K. Suresh
Guidelines and evaluation of clinical explainable AI in medical image analysis.;2023;Hanxiao Zhang and Liang Chen 0023 and Xiao Gu 0003 and Minghui Zhang and Yulei Qin and Feng Yao and Zhexin Wang and Yun Gu and Guang-Zhong Yang
Sustainable AI Processing at the Edge.;2023;Sam Baron
Building a trustworthy AI differential diagnosis application for Crohn's disease and intestinal tuberculosis.;2023;Preethi Lahoti and P. Krishna Gummadi and Gerhard Weikum
Explainable AI and Causal Understanding: Counterfactual Approaches Considered.;2023;Rolf Morel and Andrew Cropper
Attitudinal Tensions in the Joint Pursuit of Explainable and Trusted AI.;2023;Ala Mughaid and Ibrahim Obeidat and Shadi AlZu'bi and Esraa Abu Elsoud and Asma Alnajjar and Anas Ratib Alsoud and Laith Abualigah
Transfer Learning and Explainable Artificial Intelligence Enhance the Classification of Date Fruit Varieties.;2023;Nazar Zaki and Harsh Singh and Anusuya Krishnan and Aisha Alnaqbi and Shamma Alneyadi and Sara Alnaqbi and Sarah Alhindaassi and Muneeba Alam and Afaf Kamal Eldin
Revisiting the Performance-Explainability Trade-Off in Explainable Artificial Intelligence (XAI).;2023;Barnaby Crook and Maximilian Schlüter and Timo Speith
How Explainable Is Explainability? Towards Better Metrics for Explainable AI.;2023;Aleksandra Pawlicka and Marek Pawlicki and Rafal Kozik and Wiktor Kurek and Michal Choras
CL-XAI: Toward Enriched Cognitive Learning with Explainable Artificial Intelligence.;2023;Muhammad Suffian Nizami and Ulrike Kuhl and Jose Maria Alonso-Moral and Alessandro Bogliolo
Ethics in conversation: Building an ethics assurance case for autonomous AI-enabled voice agents in healthcare.;2023;Marten H. L. Kaas and Zoë Porter and Ernest Lim and Aisling Higham and Sarah Khavandi and Ibrahim Habli
Responsible AI and the Arts: The Ethical and Legal Implications of AI in the Arts and Creative Industries.;2023;Anna-Maria Piskopani and Alan Chamberlain and Carolyn Ten Holter
Towards explainable artificial intelligence in optical networks: the use case of lightpath QoT estimation.;2023;Lin Zheng and Yixuan Lin
Ensemble of explainable artificial intelligence predictions through discriminate regions: A model to identify COVID-19 from chest X-ray images.;2023;Yus Hermansyah
Assessing the Impact of Communicative Artificial Intelligence Based Accounting Information Systems on Small and Medium Enterprises.;2023;Belén Bermejo and Carlos Juiz
Impact of Artificial Intelligence in Improving the Effectiveness of Accounting Information Systems.;2023;Teresa Heyder and Nina Passlack and Oliver Posegga
Improving cloud/edge sustainability through artificial intelligence: A systematic review.;2023;Muneza Kagzi and Sayantan Khanra and Sanjoy Kumar Paul
Ethical management of human-AI interaction: Theory development review.;2023;Ella Kokinda and Paige Rodeghero
Machine learning for sustainable development: leveraging technology for a greener future.;2023;Alaa A. Qaffas and Mohamed Aymen Ben HajKacem and Chiheb-Eddine Ben Ncir and Olfa Nasraoui
An Explainable Artificial Intelligence Approach for Multi-Criteria ABC Item Classification.;2023;Martin Greguric and Filip Vrbanic and Edouard Ivanjko
The Interplay of AI Adoption, IoT Edge, and Adaptive Resilience to Explain Digital Innovation: Evidence from German Family-Owned SMEs.;2023;Zhong Li 0001 and Herwig Unger and Kyandoghere Kyamakya
Guest editorial: Explainability of machine learning in methodologies and applications.;2023;Hui Wang
An extended intelligent technique for multiple-attribute decision-making under single-valued neutrosophic sets and applications to sustainable development evaluation of rural ecotourism.;2023;Lise Jaillant and Arran Rees
Unravelling interlanguage facts via explainable machine learning.;2023;Mehmet Furkan Celik and Mustafa Serkan Isik and Gülsen Taskin 0001 and Esra Erten and Gustau Camps-Valls
Applying AI to digital archives: trust, collaboration and shared professional ethics.;2023;Weijie Li and Wei Yang and Li Liu 0002 and Wenpeng Zhang 0002 and Yongxiang Liu
Correction to: Unravelling interlanguage facts via explainable machine learning.;2023;Songyan Zhu and Jian Xu 0008 and Jingya Zeng and Xianbang Feng and Yapeng Wang and Shanning Bao and Jiancheng Shi 0001
Explainable Artificial Intelligence for Cotton Yield Prediction With Multisource Data.;2023;Jaime A. Teixeira da Silva and Panagiotis Tsigaris
Explainable Machine Learning Confirms the Global Terrestrial CO2 Fertilization Effect From Space.;2023;Oliver Lohaj and Ján Paralic and Peter Bednár and Zuzana Paralicová and Matús Huba
AI ethical biases: normative and information systems development conceptual framework.;2023;Jing (Elaine) Chen and Feng Bao and Chenxi Li and Yixun Lin
User-centric explainable AI: design and evaluation of an approach to generate coherent counterfactual explanations for structured data.;2023;Tahani Al-Khatib
The Application and Ethics of Artificial Intelligence in Blockchain: A Bibliometric-Content Analysis.;2023;Curtis C. Cain and Carlos D. Buskey and Gloria J. Washington
Artificial intelligence and conversational agent evolution - a cautionary tale of the benefits and pitfalls of advanced technology in education, academic research, and practice.;2023;Carmela Occhipinti and Antonio Carnevale and Luigi Briguglio and Andrea Iannone and Piercosma Bisconti
From big data epistemology to AI politics: rescuing the public dimension over data-driven technologies.;2023;Omoregie Charles Osifo
SAT: a methodology to assess the social acceptance of innovative AI-based technologies.;2023;Ace Vo and Miloslava Plachkinova
Transparency and its roles in realizing greener AI.;2023;Zhuoyi Qian and Peng Guo and Yifan Wang and Fangcheng Xiao
Investigating the role of artificial intelligence in the US criminal justice system.;2023;Md. Abu Sayeed Sardar and Hasi Saha and Md. Nahid Sultan and Md. Fazle Rabbi
Intrusion Detection in Electric Vehicles using Machine Learning with Model Explainability.;2023;Yu Zhang 0128 and Xulong Wang and Tong Liu 0014 and Rujing Wang and Yang Li and Qing Xue and Po Yang 0001
AI and the Accounting Profession: Views from Industry and Academia.;2023;Sarah Schönherr and Robert Eller and Andreas Kallmünzer and Mike Peters
AI Agents as Team Members: Effects on Satisfaction, Conflict, Trustworthiness, and Willingness to Work With.;2023;Krishnakanth Medichalam and V. Vijayarajan and V. Vinoth Kumar 0001 and I. Manimozhi Iyer and Yaswanth Kumar Vanukuri and V. B. Surya Prasath and B. Swapna
ProtoShotXAI: Using Prototypical Few-Shot Architecture for Explainable AI.;2023;M. Rajesh 0001 and Krishnasamy Vengatesan and Ramachandran Sitharthan and Shanmuga Sundar Dhanabalan and Mahendra Bhatu Gawali
Trustworthy Artificial Intelligence and Automatic Morse Code Based Communication Recognition with Eye Tracking.;2023;Mohamad Koohi-Moghadam and Kyongtae Ty Bae
Enhancing Mobile Multimedia Trustworthiness through Federated AI-based Content Authentication: Enhancing Mobile Multimedia.;2023;Balakrishnan Lalithadevi and Sivamohan Krishnaveni and J. Samuel Cornelius Gnanadurai
Generative AI in Medical Imaging: Applications, Challenges, and Ethics.;2023;Omran Ayoub and Sebastian Troia and Davide Andreoletti and Andrea Bianco and Massimo Tornatore and Silvia Giordano and Cristina Rottondi
A Feasibility Study of Diabetic Retinopathy Detection in Type II Diabetic Patients Based on Explainable Artificial Intelligence.;2023;Shiva Prasad Koyyada and Thipendra P. Singh
Integrating AI ethics in wildlife conservation AI systems in South Africa: a review, challenges, and future research agenda.;2023;Irene Nandutu and Marcellin Atemkeng and Patrice Okouma
Ethical artificial intelligence framework for a good AI society: principles, opportunities and perils.;2023;Pradeep Paraman and Sanmugam Anamalah
The social and ethical impacts of artificial intelligence in agriculture: mapping the agricultural AI literature.;2023;Mark Ryan 0004
Towards white box modeling of compressive strength of sustainable ternary cement concrete using explainable artificial intelligence (XAI).;2023;Muhammad Ibrahim Syed and Saad Shamim Ansari and Syed Danish Hasan
Operationalizing Responsible AI at Scale: CSIRO Data61's Pattern-Oriented Responsible AI Engineering Approach.;2023;Qinghua Lu 0001 and Liming Zhu 0001 and Xiwei Xu 0001 and Jon Whittle 0001 and Didar Zowghi and Aurelie Jacquet
A framework and exemplars for ethical and responsible use of AI Chatbot technology to support teaching and learning.;2023;Sarah A. Chauncey and H. Patricia McKenna
Fairness, Accountability, Transparency, and Ethics (FATE) in Artificial Intelligence (AI) and higher education: A systematic review.;2023;Bahar Memarian and Tenzin Doleck
Towards Intelligent-TPACK: An empirical study on teachers' professional knowledge to ethically integrate artificial intelligence (AI)-based tools into education.;2023;Ismail Celik
Explainable AI and machine learning: performance evaluation and explainability of classifiers on educational data mining inspired career counseling.;2023;Pratiyush Guleria and Manu Sood
Artificial Intelligence (AI) Trust Framework and Maturity Model: Applying an Entropy Lens to Improve Security, Privacy, and Ethical AI.;2023;Michael Mylrea and Nikki Robinson
Explainable discovery of disease biomarkers: The case of ovarian cancer to illustrate the best practice in machine learning and Shapley analysis.;2023;Thomas E. Hadfield and Jack Scantlebury and Charlotte M. Deane
Exploring the ability of machine learning-based virtual screening models to identify the functional groups responsible for binding.;2023;Chu-I Yang and Yi-Pei Li
CIRCE: Web-Based Platform for the Prediction of Cannabinoid Receptor Ligands Using Explainable Machine Learning.;2023;Zhenxing Wu and Jihong Chen and Yitong Li and Yafeng Deng and Haitao Zhao and Chang-Yu Hsieh and Tingjun Hou
TIRESIA: An eXplainable Artificial Intelligence Platform for Predicting Developmental Toxicity.;2023;Zhibao Wang and Shuaijun Chen and Lu Bai 0006 and Juntao Gao and Jinhua Tao and Raymond R. Bond and Maurice D. Mulvenna
From Black Boxes to Actionable Insights: A Perspective on Explainable Artificial Intelligence for Scientific Discovery.;2023;Mengying Zhang
Problems and countermeasures of accounting informatization construction in colleges and universities under the background of big data and artificial intelligence.;2023;Maximilian Förster and Philipp Hühn and Mathias Klier and Kilian Kluge
Demystifying machine learning models of massive IoT attack detection with Explainable AI for sustainable and secure future smart cities.;2023;Rabeya Khatun Muna and Muhammad Iqbal Hossain and Md. Golam Rabiul Alam and Mohammad Mehedi Hassan and Michele Ianni and Giancarlo Fortino
Toward Trustworthy AI: Blockchain-Based Architecture Design for Accountability and Fairness of Federated Learning Systems.;2023;Sin Kit Lo and Yue Liu 0010 and Qinghua Lu 0001 and Chen Wang 0008 and Xiwei Xu 0001 and Hye-Young Paik and Liming Zhu 0001
Artificial Intelligence (AI) and Information Systems: Perspectives to Responsible AI.;2023;Denis Dennehy and Anastasia Griva and Nancy Pouloudi and Yogesh K. Dwivedi and Matti Mäntymäki and Ilias O. Pappas
Explainable Artificial Intelligence (XAI) for Deep Learning Based Medical Imaging Classification.;2023;Rawan Ghnemat and Sawsan Alodibat and Qasem Abu Al-Haija
XAIR: A Systematic Metareview of Explainable AI (XAI) Aligned to the Software Development Process.;2023;Tobias Clement and Nils Kemmerzell and Mohamed Abdelaal 0001 and Michael Amberg
Personality-based tailored explainable recommendation for trustworthy smart learning system in the age of artificial intelligence.;2023;Kyosuke Takami and Brendan Flanagan and Yiling Dai and Hiroaki Ogata
An Integrated Intelligent System for Breast Cancer Detection at Early Stages Using IR Images and Machine Learning Methods with Explainability.;2023;Nurduman Aidossov and Vasilios Zarikas and Yong Zhao 0001 and Aigerim Mashekova and Eddie-Yin-Kwee Ng and Olzhas Mukhmetov and Yerken Mirasbekov and Aldiyar Omirbayev
Responsible-AI-by-Design: A Pattern Collection for Designing Responsible Artificial Intelligence Systems.;2023;Qinghua Lu 0001 and Liming Zhu 0001 and Xiwei Xu 0001 and Jon Whittle 0001
OpenFL-XAI: Federated learning of explainable artificial intelligence models in Python.;2023;Mattia Daole and Alessio Schiavo and José Luis Corcuera Bárcena and Pietro Ducange and Francesco Marcelloni and Alessandro Renda
How Explainable Machine Learning Enhances Intelligence in Explaining Consumer Purchase Behavior: A Random Forest Model with Anchoring Effects.;2023;Yanjun Chen and Hongwei Liu and Zhanming Wen and Weizhen Lin
A responsible AI framework: pipeline contextualisation.;2023;Eduardo Vyhmeister and Gabriel González-Castañé and Per-Olov Östberg and Simon Thevenin
"""Intelligent Justice"": human-centered considerations in China's legal AI transformation.";2023;Nyu Wang and Michael Yuan Tian
Needs-aware artificial intelligence: AI that 'serves [human] needs'.;2023;Ryan Watkins and Soheil Human
SolderNet: Towards trustworthy visual inspection of solder joints in electronics manufacturing using explainable artificial intelligence.;2023;Hayden Gunraj and Paul Guerrier and Sheldon Fernandez and Alexander Wong
Beyond bias and discrimination: redefining the AI ethics principle of fairness in healthcare machine-learning algorithms.;2023;Benedetta Giovanola and Simona Tiribelli
Separating facts and evaluation: motivation, account, and learnings from a novel approach to evaluating the human impacts of machine learning.;2023;Ryan Jenkins and Kristian J. Hammond and Sarah Spurlock and Leilani Gilpin
Development of Large-Scale Farming Based on Explainable Machine Learning for a Sustainable Rural Economy: The Case of Cyber Risk Analysis to Prevent Costly Data Breaches.;2023;Grazia Veronica Aiosa and Maurizio Palesi and Francesca Sapuppo
EXplainable AI for Decision Support to Obesity Comorbidities Diagnosis.;2023;Maali Alabdulhafith and Hager Saleh and Hela Elmannai and Zainab Hassan Ali and Shaker H. Ali El-Sappagh and Jong Wan Hu and Nora El-Rashidy
A Clinical Decision Support System for Edge/Cloud ICU Readmission Model Based on Particle Swarm Optimization, Ensemble Machine Learning, and Explainable Artificial Intelligence.;2023;Momotaz Begum and Mehedi Hasan Shuvo and Imran Ashraf and Abdullah Al Mamun and Jia Uddin and Md Abdus Samad
Software Defects Identification: Results Using Machine Learning and Explainable Artificial Intelligence Techniques.;2023;Deep R. Kothadiya and Chintan M. Bhatt and Amjad Rehman and Faten S. Alamri and Tanzila Saba
SignExplainer: An Explainable AI-Enabled Framework for Sign Language Recognition With Ensemble Learning.;2023;Ruey-Kai Sheu and Mayuresh Sunil Pardeshi and Kai-Chih Pai and Lun-Chi Chen and Chieh-Liang Wu and Wei-Cheng Chen
Interpretable Classification of Pneumonia Infection Using eXplainable AI (XAI-ICP).;2023;Jasjit S. Suri and Mrinalini Bhagawati and Sushant Agarwal and Sudip Paul and Amit Pandey and Suneet K. Gupta 0001 and Luca Saba and Kosmas I. Paraskevas and Narendra N. Khanna and John R. Laird and Amer M. Johri and Manudeep K. Kalra and Mostafa M. Fouda and Mostafa Fatemi and Subbaram Naidu
UNet Deep Learning Architecture for Segmentation of Vascular and Non-Vascular Images: A Microscopic Look at UNet Components Buffered With Pruning, Explainable Artificial Intelligence, and Bias.;2023;Caihua Hao and Xinyong Mao and Tao Ma and Songping He and Bin Li 0026 and Hongqi Liu and Fangyu Peng and Lei Zhang
The Role of Explainable AI in the Research Field of AI Ethics.;2023;Heidi Vainio-Pekka and Mamia Ori-otse Agbese and Marianna Jantunen and Ville Vakkuri and Tommi Mikkonen and Rebekah Rousi and Pekka Abrahamsson
Self-learning and explainable deep learning network toward the security of artificial intelligence of things.;2023;Bin Wu and Sean He
Holding AI to Account: Challenges for the Delivery of Trustworthy AI in Healthcare.;2023;Rob Procter and Peter Tolmie and Mark Rouncefield
Correction to: the Ethics of AI in Human Resources.;2023;Matthew J. Dennis and Evgeni Aizenberg
Do citizens trust trustworthy artificial intelligence? Experimental evidence on the limits of ethical AI measures in government.;2023;Bjorn Kleizen and Wouter Van Dooren and Koen Verhoest and Evrim Tan
Ethical impact of artificial intelligence in managerial accounting.;2023;Chao Zhang and Weidong Zhu and Jun Dai and Yong Wu and Xulong Chen
Towards Responsible AI: A Design Space Exploration of Human-Centered Artificial Intelligence User Interfaces to Investigate Fairness.;2023;Yuri Nakao and Lorenzo Strappelli and Simone Stumpf and Aisha Naseer and Daniele Regoli and Giulia Del Gamba
Improving Trustworthiness of AI Solutions: A Qualitative Approach to Support Ethically-Grounded AI Design.;2023;Andrea Vianello and Sami Laine and Elsa Tuomi
Modelling Predictability of Airbnb Rental Prices in Post COVID-19 Regime: An Integrated Framework of Transfer Learning, PSO-Based Ensemble Machine Learning and Explainable AI.;2023;Indranil Ghosh and Manas K. Sanyal and Dragan Pamucar
A novel deep learning method with partly explainable: Intelligent milling tool wear prediction model based on transformer informed physics.;2023;Peter E. D. Love and Weili Fang and Jane Matthews and Stuart R. Porter and Hanbin Luo and Lieyun Ding
Explainable artificial intelligence (XAI): Precepts, models, and opportunities for research in construction.;2023;Oskar Wysocki and Jessica Katharine Davies and Markel Vigo and Anne Caroline Armstrong and Dónal Landers and Rebecca Lee and André Freitas
Assessing the communication gap between AI models and healthcare professionals: Explainability, utility and trust in AI-driven clinical decision-making.;2023;Hong Gao 0008 and Lisa Hasenbein and Efe Bozkir and Richard Göllner and Enkelejda Kasneci
Exploring Gender Differences in Computational Thinking Learning in a VR Classroom: Developing Machine Learning Models Using Eye-Tracking Data and Explaining the Models.;2023;Helen Zhang and Irene Lee and Safinah Arshad Ali and Daniella DiPaola and Yihong Cheng and Cynthia Breazeal
Integrating Ethics and Career Futures with Technical Learning to Promote AI Literacy for Middle School Students: An Exploratory Study.;2023;Avinash Agarwal and Harsh Agarwal and Nihaarika Agarwal
Fairness Score and process standardization: framework for fairness certification in artificial intelligence systems.;2023;Ramón Alvarado
What kind of trust does AI deserve, if any?;2023;Hutan Ashrafian
Engineering a social contract: Rawlsian distributive justice through algorithmic game theory and artificial intelligence.;2023;Dina Babushkina
Are we justified attributing a mistake in diagnosis to an AI diagnostic system?;2023;Richard Benjamins and Yaiza Rubio Viñuela and Chema Alonso
"""AI for all"" is a matter of social justice.";2023;Davide Calvaresi and Rachele Carli and Jean-Gabriel Piguet and Victor Contreras and Gloria Luzzani and Amro Najjar and Jean-Paul Calbimonte and Michael Schumacher 0001
Artificial intelligence and the model of rules: better than us?;2023;Diogo Cortiz
A narrative review of fairness and morality in neuroscience: insights to artificial intelligence.;2023;Hugo Cossette-Lefebvre and Jocelyn Maclure
A principled governance for emerging AI regimes: lessons from China, the European Union, and the United States.;2023;Cindy Friedman
The sophistry of the neutral tool. Weaponizing artificial intelligence and big data into threats toward social exclusion.;2023;Thilo Hagendorff and Leonie Bossert and Yip Fai Tse and Peter Singer
Speciesist bias in AI: a reply to Arandjelović.;2023;Merve Hickok and Nestor Maslej
A policy primer and roadmap on AI worker surveillance and productivity scoring tools.;2023;Soheil Human and Ryan Watkins
Needs and artificial intelligence.;2023;Maria Joseph Israel and Ahmed Amer
Rawlsian AI fairness loopholes.;2023;Sara Kassir and Lewis J. Baker and Jackson Dolphin and Frida Polli
Publisher Correction: AI for hiring in context: a perspective on overcoming the unique challenges of employment research to mitigate disparate impact.;2023;Sara Kassir and Lewis J. Baker and Jackson Dolphin and Frida Polli
AI for hiring in context: a perspective on overcoming the unique challenges of employment research to mitigate disparate impact.;2023;Shailendra Kumar and Sanghamitra Choudhury
Humans, super humans, and super humanoids: debating Stephen Hawking's doomsday AI forecast.;2023;Seng W. Loke
The internal morality of markets and artificial intelligence.;2023;Stefanie Meyer and Sarah Mandl and Dagmar Gesmann-Nuissl and Anja Strobel
A new control problem? Humanoid robots, artificial intelligence, and the value of control.;2023;Petar Radanliev and David De Roure
Review of the state of the art in autonomous artificial intelligence.;2023;Marc Steen and Jurriaan van Diggelen and Tjerk Timan and Nanda van der Stap
Artificial intelligence applied in pulmonary hypertension: a bibliometric analysis.;2023;Fabio Tollon
